epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7909,1.97313,2.88914,2.09212,0.00444,0.53333,0.00314,0.00098,nan,nan,nan,0.000649123,0.000649123,0.000649123
2,21.1938,2.26168,2.633,2.28884,0.00271,0.08889,0.00141,0.0003,nan,nan,nan,0.00130276,0.00130276,0.00130276
3,31.4098,2.25205,2.50342,2.27044,0,0,0,0,nan,nan,nan,0.0019432,0.0019432,0.0019432
4,41.5661,2.15115,2.46817,2.1857,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,51.8335,2.05722,2.26488,2.07248,0.00199,0.04444,0.0006,0.00019,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,62.0556,1.99694,2.18687,2.03066,0.05877,0.22222,0.03704,0.01107,2.5536,32.2539,3.26292,0.001901,0.001901,0.001901
7,72.6082,1.919,2.15573,1.9877,0.06461,0.08889,0.02811,0.00531,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,82.9256,1.9547,2.16169,1.95227,0.09613,0.25556,0.07323,0.03124,2.5858,17.8604,3.23285,0.0018614,0.0018614,0.0018614
9,93.587,1.87938,2.04896,1.91403,0.20885,0.33333,0.18014,0.06814,2.29174,4.54449,2.66655,0.0018416,0.0018416,0.0018416
10,104.171,1.90004,1.98923,1.9063,0.32579,0.28889,0.26685,0.11665,2.07198,3.616,2.44103,0.0018218,0.0018218,0.0018218
11,114.818,1.80794,1.90876,1.85329,0.20307,0.38889,0.22973,0.08389,1.98931,4.87318,2.33277,0.001802,0.001802,0.001802
12,125.16,1.7292,1.87035,1.82998,0.23593,0.42222,0.28143,0.12084,1.80364,4.01949,2.19547,0.0017822,0.0017822,0.0017822
13,135.849,1.67332,1.87107,1.77968,0.35885,0.43534,0.38548,0.18585,1.72894,2.2456,2.04144,0.0017624,0.0017624,0.0017624
14,146.533,1.69307,1.82864,1.78775,0.35649,0.57861,0.41739,0.1769,1.86643,2.1384,2.14874,0.0017426,0.0017426,0.0017426
15,156.903,1.67867,1.73447,1.75161,0.6656,0.45556,0.55974,0.26841,1.86056,2.35313,2.06948,0.0017228,0.0017228,0.0017228
16,167.549,1.69462,1.79145,1.7717,0.39685,0.5,0.38776,0.16173,1.9338,2.38434,2.15524,0.001703,0.001703,0.001703
17,177.887,1.68614,1.72545,1.75171,0.4902,0.50217,0.49408,0.2184,1.72205,2.29802,1.99756,0.0016832,0.0016832,0.0016832
18,188.185,1.68712,1.71561,1.73513,0.37961,0.40794,0.34839,0.12891,2.24352,2.82073,2.71914,0.0016634,0.0016634,0.0016634
19,198.487,1.61144,1.67563,1.71823,0.67839,0.53333,0.63222,0.30119,1.62928,1.59253,1.88392,0.0016436,0.0016436,0.0016436
20,209.04,1.64986,1.64708,1.72158,0.6352,0.58044,0.58497,0.27167,1.7155,1.86422,2.01097,0.0016238,0.0016238,0.0016238
21,219.397,1.54124,1.6068,1.67373,0.56007,0.47778,0.52712,0.23729,1.80143,1.7064,2.14928,0.001604,0.001604,0.001604
22,229.632,1.57573,1.57926,1.68433,0.61544,0.53345,0.60886,0.27322,1.58463,1.64756,1.92921,0.0015842,0.0015842,0.0015842
23,239.947,1.57326,1.6454,1.68726,0.64468,0.6,0.6612,0.3234,1.5624,1.81051,1.87765,0.0015644,0.0015644,0.0015644
24,250.591,1.52585,1.56537,1.6325,0.66247,0.58889,0.64444,0.32472,1.58817,1.47585,1.86092,0.0015446,0.0015446,0.0015446
25,260.838,1.4901,1.56472,1.60256,0.54746,0.65865,0.65299,0.33405,1.55945,1.60009,1.79645,0.0015248,0.0015248,0.0015248
26,271.388,1.52096,1.54182,1.62875,0.72135,0.67778,0.75705,0.36495,1.60485,1.35752,1.81426,0.001505,0.001505,0.001505
27,282.074,1.445,1.44472,1.56979,0.51683,0.61111,0.55962,0.26607,1.59931,1.9065,1.96163,0.0014852,0.0014852,0.0014852
28,292.44,1.46387,1.44812,1.5804,0.6008,0.68889,0.63143,0.32572,1.53502,1.49823,1.87413,0.0014654,0.0014654,0.0014654
29,302.855,1.45088,1.40061,1.56372,0.65513,0.64444,0.66418,0.3646,1.52586,1.3907,1.74591,0.0014456,0.0014456,0.0014456
30,313.175,1.43922,1.43387,1.57668,0.61221,0.67778,0.66597,0.37826,1.46731,1.43836,1.74023,0.0014258,0.0014258,0.0014258
31,323.866,1.43058,1.43918,1.57496,0.61559,0.76667,0.71466,0.36513,1.50439,1.42829,1.82982,0.001406,0.001406,0.001406
32,334.159,1.45884,1.44644,1.58382,0.69724,0.63333,0.70453,0.36771,1.42134,1.46399,1.76424,0.0013862,0.0013862,0.0013862
33,344.471,1.45339,1.45022,1.58743,0.59037,0.72064,0.71261,0.36515,1.45935,1.39189,1.73233,0.0013664,0.0013664,0.0013664
34,354.808,1.42795,1.47993,1.56887,0.69052,0.72222,0.76813,0.44705,1.34164,1.33324,1.67905,0.0013466,0.0013466,0.0013466
35,365.41,1.41256,1.38826,1.539,0.67645,0.78985,0.7256,0.42366,1.3289,1.24766,1.61851,0.0013268,0.0013268,0.0013268
36,375.589,1.42975,1.40388,1.5642,0.62968,0.75571,0.74152,0.44125,1.30324,1.34233,1.63367,0.001307,0.001307,0.001307
37,385.901,1.3629,1.35192,1.50947,0.68764,0.73382,0.7679,0.46379,1.33337,1.25252,1.6285,0.0012872,0.0012872,0.0012872
38,396.489,1.36868,1.33853,1.52048,0.74119,0.73333,0.77833,0.44874,1.344,1.20493,1.62871,0.0012674,0.0012674,0.0012674
39,406.799,1.3833,1.36735,1.54537,0.78686,0.68889,0.80281,0.49365,1.27325,1.22993,1.53288,0.0012476,0.0012476,0.0012476
40,417.411,1.37427,1.32831,1.52824,0.77536,0.74444,0.78077,0.44747,1.39295,1.28584,1.69577,0.0012278,0.0012278,0.0012278
41,427.574,1.35261,1.3067,1.50306,0.69597,0.78889,0.73776,0.45649,1.2968,1.21522,1.60796,0.001208,0.001208,0.001208
42,437.874,1.35157,1.29305,1.50945,0.80637,0.7404,0.81498,0.52501,1.20807,1.1313,1.52975,0.0011882,0.0011882,0.0011882
43,448.603,1.29337,1.2655,1.45081,0.73611,0.76667,0.81529,0.46887,1.4363,1.17333,1.72359,0.0011684,0.0011684,0.0011684
44,458.981,1.32307,1.27576,1.47914,0.82563,0.78914,0.86141,0.49865,1.33681,1.07691,1.60663,0.0011486,0.0011486,0.0011486
45,469.402,1.33826,1.27204,1.4845,0.76532,0.81111,0.84092,0.51792,1.20976,1.10149,1.48537,0.0011288,0.0011288,0.0011288
46,479.741,1.30051,1.25326,1.48326,0.71321,0.68889,0.72064,0.39641,1.46691,1.36682,1.82289,0.001109,0.001109,0.001109
47,490.179,1.3222,1.26464,1.46492,0.83354,0.77896,0.83032,0.49779,1.24221,1.09426,1.55195,0.0010892,0.0010892,0.0010892
48,500.47,1.28667,1.26645,1.4678,0.73369,0.75556,0.73878,0.4446,1.32186,1.37097,1.71335,0.0010694,0.0010694,0.0010694
49,510.842,1.29521,1.23149,1.45503,0.66993,0.62222,0.67512,0.39285,1.4414,1.33585,1.70562,0.0010496,0.0010496,0.0010496
50,521.1,1.24521,1.19442,1.43089,0.77986,0.78724,0.83237,0.51169,1.22635,1.03309,1.54906,0.0010298,0.0010298,0.0010298
51,531.568,1.28111,1.16559,1.45345,0.80641,0.78684,0.86376,0.54508,1.21054,1.01527,1.4873,0.00101,0.00101,0.00101
52,542.215,1.20049,1.12736,1.38683,0.86926,0.72222,0.81781,0.49795,1.3057,1.10252,1.59521,0.0009902,0.0009902,0.0009902
53,552.624,1.24158,1.12727,1.43897,0.77339,0.83333,0.83488,0.57146,1.16478,0.96542,1.53217,0.0009704,0.0009704,0.0009704
54,563.26,1.21832,1.18586,1.43969,0.87713,0.76667,0.84792,0.54835,1.20355,1.0444,1.5554,0.0009506,0.0009506,0.0009506
55,573.637,1.22617,1.14481,1.41142,0.85929,0.73333,0.85286,0.57557,1.12268,1.00263,1.49916,0.0009308,0.0009308,0.0009308
56,584.309,1.2114,1.12319,1.41914,0.81826,0.64444,0.78603,0.50327,1.18392,1.05508,1.59725,0.000911,0.000911,0.000911
57,594.72,1.20613,1.13157,1.40676,0.79955,0.75345,0.82429,0.54059,1.17824,1.04028,1.49145,0.0008912,0.0008912,0.0008912
58,605.069,1.23312,1.11489,1.43441,0.7655,0.81111,0.83729,0.54124,1.17123,0.99384,1.53466,0.0008714,0.0008714,0.0008714
59,615.462,1.19538,1.09724,1.40565,0.74817,0.79227,0.83796,0.55774,1.14498,0.94441,1.43442,0.0008516,0.0008516,0.0008516
60,625.788,1.20587,1.09652,1.39394,0.78467,0.76932,0.84009,0.52717,1.25441,1.00455,1.53533,0.0008318,0.0008318,0.0008318
61,636.217,1.20714,1.06484,1.40131,0.82871,0.80638,0.88633,0.58387,1.14452,0.86989,1.48022,0.000812,0.000812,0.000812
62,646.875,1.17176,1.05511,1.36577,0.86827,0.76667,0.87263,0.56887,1.1375,0.88765,1.45498,0.0007922,0.0007922,0.0007922
63,657.35,1.15688,1.01961,1.35716,0.93517,0.80143,0.8975,0.60949,1.13313,0.83988,1.42255,0.0007724,0.0007724,0.0007724
64,667.905,1.16518,1.0815,1.3648,0.80854,0.7977,0.85342,0.55942,1.19594,0.9186,1.47257,0.0007526,0.0007526,0.0007526
65,678.283,1.13957,1.03033,1.34022,0.82982,0.78889,0.82805,0.56393,1.07569,0.91619,1.42826,0.0007328,0.0007328,0.0007328
66,688.608,1.13219,1.04202,1.35078,0.86168,0.76142,0.82329,0.55859,1.07539,0.91811,1.40088,0.000713,0.000713,0.000713
67,698.948,1.13717,1.03016,1.34707,0.78938,0.7496,0.84782,0.54925,1.17734,0.90722,1.48069,0.0006932,0.0006932,0.0006932
68,709.217,1.14055,1.03613,1.34255,0.87574,0.71111,0.83699,0.56661,1.16715,0.93693,1.49393,0.0006734,0.0006734,0.0006734
69,719.498,1.12819,0.99708,1.35207,0.7061,0.85424,0.84056,0.55466,1.12733,0.9666,1.46963,0.0006536,0.0006536,0.0006536
70,729.805,1.13549,1.01771,1.34451,0.82122,0.81111,0.8415,0.56181,1.13428,0.92577,1.46106,0.0006338,0.0006338,0.0006338
71,740.113,1.15549,1.04464,1.36781,0.84958,0.75312,0.83815,0.59485,1.0512,0.86043,1.37723,0.000614,0.000614,0.000614
72,750.35,1.13078,1.04728,1.33822,0.87735,0.79483,0.87135,0.57487,1.16073,0.8744,1.46604,0.0005942,0.0005942,0.0005942
73,760.714,1.14236,1.01446,1.33888,0.87173,0.83066,0.87713,0.60738,1.04923,0.8286,1.42196,0.0005744,0.0005744,0.0005744
74,770.945,1.08921,1.01276,1.33115,0.82548,0.81111,0.88987,0.61311,1.05134,0.84166,1.42614,0.0005546,0.0005546,0.0005546
75,781.672,1.10756,0.9858,1.3335,0.86341,0.78889,0.88332,0.61279,1.08734,0.82009,1.43083,0.0005348,0.0005348,0.0005348
76,792.027,1.06907,0.95321,1.32076,0.83023,0.81508,0.85458,0.59879,1.06392,0.82013,1.40883,0.000515,0.000515,0.000515
77,802.425,1.10251,0.96821,1.33037,0.77216,0.86608,0.86902,0.58785,1.07364,0.84801,1.4389,0.0004952,0.0004952,0.0004952
78,812.677,1.05014,0.94116,1.28745,0.78756,0.78889,0.84167,0.60194,1.06805,0.87471,1.40854,0.0004754,0.0004754,0.0004754
79,822.99,1.05177,0.9328,1.29232,0.78469,0.80988,0.85825,0.61828,1.00231,0.81149,1.39007,0.0004556,0.0004556,0.0004556
80,833.62,1.07369,0.96653,1.31603,0.7926,0.8068,0.85737,0.61252,0.9817,0.81638,1.35624,0.0004358,0.0004358,0.0004358
81,844.031,1.03093,0.93212,1.27727,0.85937,0.85556,0.8632,0.63625,0.96497,0.77484,1.33859,0.000416,0.000416,0.000416
82,854.736,1.03393,0.91853,1.28261,0.81735,0.84528,0.88599,0.60837,1.07587,0.78952,1.41141,0.0003962,0.0003962,0.0003962
83,865.183,1.01823,0.88575,1.27506,0.83055,0.83333,0.89408,0.64092,0.97828,0.71442,1.33547,0.0003764,0.0003764,0.0003764
84,875.856,1.04028,0.912,1.27867,0.82032,0.86242,0.88624,0.65196,0.99307,0.76953,1.36057,0.0003566,0.0003566,0.0003566
85,886.504,1.00391,0.9197,1.26307,0.78656,0.83333,0.84349,0.60045,1.04819,0.83079,1.42139,0.0003368,0.0003368,0.0003368
86,896.8,1.01901,0.90605,1.26163,0.80627,0.84444,0.86595,0.62923,0.99626,0.77944,1.3384,0.000317,0.000317,0.000317
87,907.127,1.01665,0.89743,1.28675,0.79976,0.83333,0.8442,0.61603,0.94526,0.80362,1.29332,0.0002972,0.0002972,0.0002972
88,917.394,0.99989,0.86086,1.26578,0.83456,0.84075,0.8779,0.63221,0.96737,0.80148,1.3476,0.0002774,0.0002774,0.0002774
89,927.615,0.98753,0.8816,1.26052,0.80561,0.82887,0.87,0.63783,0.9597,0.7653,1.32151,0.0002576,0.0002576,0.0002576
90,937.907,0.99011,0.86977,1.25565,0.84392,0.84112,0.88188,0.65083,0.93749,0.7245,1.30406,0.0002378,0.0002378,0.0002378
91,948.881,0.86726,0.76789,1.20343,0.83779,0.86667,0.89615,0.65176,1.0059,0.69942,1.35762,0.000218,0.000218,0.000218
92,959.446,0.86742,0.70175,1.206,0.81975,0.86667,0.88261,0.63981,0.96238,0.75894,1.32381,0.0001982,0.0001982,0.0001982
93,969.822,0.85092,0.69274,1.19663,0.7942,0.87778,0.89941,0.65521,0.97373,0.72075,1.36624,0.0001784,0.0001784,0.0001784
94,980.418,0.82379,0.6616,1.15762,0.84179,0.88679,0.89785,0.65834,0.96043,0.69626,1.34115,0.0001586,0.0001586,0.0001586
95,991.032,0.84922,0.6734,1.1875,0.86735,0.87188,0.89443,0.65699,0.95785,0.66914,1.35062,0.0001388,0.0001388,0.0001388
96,1001.37,0.79411,0.62763,1.16781,0.88818,0.88262,0.91301,0.66655,0.94361,0.65494,1.32332,0.000119,0.000119,0.000119
97,1012,0.78131,0.62168,1.14952,0.90195,0.86667,0.90725,0.66732,0.93531,0.65596,1.32086,9.92e-05,9.92e-05,9.92e-05
98,1022.55,0.79069,0.61552,1.15623,0.8757,0.88889,0.90191,0.66166,0.94053,0.68184,1.32857,7.94e-05,7.94e-05,7.94e-05
99,1032.94,0.77778,0.59162,1.15773,0.87738,0.87454,0.90196,0.67103,0.93587,0.67589,1.32131,5.96e-05,5.96e-05,5.96e-05
100,1043.54,0.77661,0.60395,1.14237,0.85083,0.88889,0.90238,0.66589,0.92636,0.66361,1.31378,3.98e-05,3.98e-05,3.98e-05
